month	day	value
1	1	29
1	2	26
1	3	33
1	4	41
1	5	36
1	6	43
1	7	28
2	1	35
2	2	33
2	3	24
2	4	34
2	5	23
2	6	35
2	7	39
3	1	40
3	2	22
3	3	41
3	4	35
3	5	28
3	6	34
3	7	38
4	1	25
4	2	27
4	3	24
4	4	29
4	5	32
4	6	40
4	7	32
5	1	48
5	2	31
5	3	28
5	4	36
5	5	28
5	6	42
5	7	58
6	1	73
6	2	52
6	3	57
6	4	50
6	5	46
6	6	68
6	7	106
7	1	92
7	2	73
7	3	53
7	4	63
7	5	85
7	6	77
7	7	133
8	1	87
8	2	56
8	3	60
8	4	73
8	5	74
8	6	80
8	7	117
9	1	70
9	2	55
9	3	61
9	4	53
9	5	49
9	6	56
9	7	96
10	1	72
10	2	60
10	3	50
10	4	60
10	5	40
10	6	68
10	7	60
11	1	45
11	2	42
11	3	41
11	4	35
11	5	44
11	6	38
11	7	69
12	1	28
12	2	26
12	3	28
12	4	29
12	5	35
12	6	29
12	7	32
